What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
25-29,Male,Sweden,Master’s degree,Data Scientist,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"40,000-49,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,2-3 years
30-34,Male,Nigeria,Master’s degree,Statistician,Mid-Large,5-9,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$100-$999,Basic statistical software,1-2 years,R,Never,2-3 years
35-39,Male,India,Master’s degree,Data Scientist,Mid-Large,10-14,No (we do not use ML methods),"1,000-1,999",$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
25-29,Male,Pakistan,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),$0-999,$0 (USD),Basic statistical software,< 1 years,Other,Never,< 1 years
45-49,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,Mid-Large,15-19,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999","> $100,000 ($USD)",Cloud-based data software & APIs,< 1 years,Python,Never,1-2 years
30-34,Male,Germany,Doctoral degree,Data Scientist,Enterprise,5-9,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",$0 (USD),Basic statistical software,3-5 years,Python,Never,1-2 years
22-24,Male,India,Professional degree,Data Analyst,Medium,1-2,No (we do not use ML methods),"3,000-3,999",$1-$99,Advanced statistical software,< 1 years,Python,Never,< 1 years
30-34,Male,Other,Doctoral degree,Research Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999","$1000-$9,999",Advanced statistical software,1-2 years,R,Never,5-10 years
22-24,Male,Turkey,Master’s degree,Data Analyst,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
45-49,Male,Republic of Korea,Doctoral degree,Other,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",$100-$999,Local development environments,10-20 years,Python,Never,3-4 years
30-34,Male,Portugal,Doctoral degree,Other,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Python,Never,3-4 years
45-49,Male,France,Doctoral degree,Other,Small,0,No (we do not use ML methods),"40,000-49,999",$1-$99,Local development environments,1-2 years,Python,Never,3-4 years
22-24,Male,Spain,Bachelor’s degree,Data Analyst,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,India,Master’s degree,Business Analyst,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,India,I prefer not to answer,Data Scientist,Medium,20+,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$1000-$9,999",Local development environments,< 1 years,Python,Never,< 1 years
22-24,Male,China,Master’s degree,Product/Project Manager,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",$100-$999,Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
25-29,Male,Switzerland,Master’s degree,Data Scientist,Large,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$0 (USD),Local development environments,3-5 years,Python,Never,4-5 years
40-44,Male,Ukraine,Master’s degree,Data Scientist,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$1-$99,Local development environments,5-10 years,R,Never,5-10 years
30-34,Male,Belgium,Master’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$100-$999,Local development environments,1-2 years,Python,Never,5-10 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Never,5-10 years
30-34,Male,Austria,Bachelor’s degree,Software Engineer,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"40,000-49,999","$10,000-$99,999",Other,5-10 years,Python,Never,1-2 years
40-44,Male,Italy,Doctoral degree,Research Scientist,Mid-Large,0,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$1-$99,Local development environments,5-10 years,Python,Never,4-5 years
25-29,Male,France,Master’s degree,Data Scientist,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$0 (USD),Local development environments,< 1 years,Python,Never,1-2 years
22-24,Male,India,Master’s degree,Software Engineer,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999","$1000-$9,999",Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,India,Master’s degree,Product/Project Manager,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$10,000-$99,999",Business intelligence software,3-5 years,Python,Used TPU,2-3 years
30-34,Male,Belgium,Doctoral degree,Research Scientist,Small,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
35-39,Male,Sweden,Doctoral degree,Research Scientist,Large,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$100-$999,Local development environments,1-2 years,Python,Never,< 1 years
35-39,Male,Other,Master’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$100-$999,Local development environments,3-5 years,Python,Used TPU,3-4 years
60-69,Male,Belarus,Doctoral degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,20+ years,Python,Never,10-15 years
25-29,Male,Spain,Master’s degree,Other,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$0 (USD),Local development environments,1-2 years,Python,Used TPU,1-2 years
35-39,Male,India,Bachelor’s degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999","$10,000-$99,999",Cloud-based data software & APIs,1-2 years,Python,Used TPU,1-2 years
35-39,Male,France,Doctoral degree,Other,Medium,20+,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$0 (USD),Local development environments,3-5 years,R,Never,< 1 years
22-24,Male,Poland,Bachelor’s degree,Research Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"25,000-29,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,< 1 years
25-29,Male,France,Master’s degree,Research Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","> $100,000 ($USD)",Local development environments,1-2 years,Python,Never,2-3 years
40-44,Male,Switzerland,Master’s degree,Data Engineer,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,1-2 years,Python,Used TPU,1-2 years
35-39,Male,Taiwan,Doctoral degree,Data Scientist,Large,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",$0 (USD),Local development environments,5-10 years,Python,Never,5-10 years
45-49,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$100-$999,Local development environments,5-10 years,Python,Used TPU,5-10 years
25-29,Male,Norway,Doctoral degree,Data Scientist,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",$0 (USD),Local development environments,5-10 years,Python,Never,3-4 years
40-44,Male,Tunisia,Doctoral degree,Research Scientist,Medium,0,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","$1000-$9,999",Local development environments,10-20 years,Python,Never,10-15 years
35-39,Male,Japan,Master’s degree,Software Engineer,Medium,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$1-$99,Local development environments,10-20 years,Python,Used TPU,10-15 years
35-39,Female,Turkey,Bachelor’s degree,Software Engineer,Small,3-4,No (we do not use ML methods),"1,000-1,999",$1-$99,Other,1-2 years,Python,Never,< 1 years
25-29,Male,India,Professional degree,Data Scientist,Enterprise,20+,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",$1-$99,Basic statistical software,3-5 years,SQL,Never,1-2 years
30-34,Female,Romania,Master’s degree,Data Scientist,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","$10,000-$99,999",Local development environments,3-5 years,R,Never,1-2 years
35-39,Male,India,Bachelor’s degree,Research Scientist,Enterprise,20+,No (we do not use ML methods),"40,000-49,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,2-3 years
30-34,Male,India,Bachelor’s degree,Data Scientist,Large,3-4,No (we do not use ML methods),"20,000-24,999","$1000-$9,999",Business intelligence software,1-2 years,Python,Never,1-2 years
35-39,Male,Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,Small,1-2,No (we do not use ML methods),$0-999,"$1000-$9,999",Advanced statistical software,3-5 years,Python,Never,2-3 years
40-44,Female,Spain,Master’s degree,Data Scientist,Medium,1-2,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$1-$99,Local development environments,1-2 years,R,Never,1-2 years
25-29,Male,India,Doctoral degree,Data Scientist,Large,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$100-$999,Basic statistical software,3-5 years,Python,Never,1-2 years
45-49,Male,Other,Bachelor’s degree,Business Analyst,Large,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,India,Bachelor’s degree,Data Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Business intelligence software,3-5 years,Python,Never,4-5 years
40-44,Male,Netherlands,Bachelor’s degree,Data Analyst,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$1-$99,Local development environments,5-10 years,Python,Never,1-2 years
22-24,Male,Kenya,Bachelor’s degree,Software Engineer,Small,1-2,No (we do not use ML methods),"4,000-4,999",$1-$99,Basic statistical software,< 1 years,Python,Never,< 1 years
30-34,Male,Spain,Master’s degree,Software Engineer,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","$10,000-$99,999",Other,3-5 years,SQL,Never,2-3 years
22-24,Male,India,I prefer not to answer,Software Engineer,Enterprise,20+,I do not know,"4,000-4,999",$100-$999,Local development environments,3-5 years,Other,Never,2-3 years
22-24,Male,Turkey,Master’s degree,Data Scientist,Medium,5-9,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$0 (USD),Other,3-5 years,Python,Never,2-3 years
30-34,Male,Hungary,Bachelor’s degree,Software Engineer,Small,0,No (we do not use ML methods),"40,000-49,999","> $100,000 ($USD)",Cloud-based data software & APIs,3-5 years,Python,Never,1-2 years
25-29,Male,Australia,Bachelor’s degree,Data Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
70+,Male,Japan,Master’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,20+ years,Python,Never,2-3 years
25-29,Male,Ukraine,Master’s degree,Data Scientist,Small,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
30-34,Male,South Africa,Master’s degree,Software Engineer,Small,1-2,No (we do not use ML methods),"20,000-24,999",$100-$999,Cloud-based data software & APIs,1-2 years,Python,Never,2-3 years
25-29,Female,Indonesia,I prefer not to answer,Data Analyst,Large,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$1-$99,Basic statistical software,< 1 years,R,Never,1-2 years
30-34,Male,Germany,Doctoral degree,Research Scientist,Mid-Large,20+,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Never,4-5 years
40-44,Male,Thailand,Doctoral degree,Research Scientist,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"25,000-29,999","$1000-$9,999",Local development environments,10-20 years,Python,Never,1-2 years
30-34,Male,India,Professional degree,Data Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$100-$999,Local development environments,3-5 years,Python,Used TPU,2-3 years
35-39,Male,Hong Kong (S.A.R.),Master’s degree,Software Engineer,Mid-Large,0,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$0 (USD),Basic statistical software,1-2 years,Python,Never,1-2 years
30-34,Male,India,Master’s degree,Data Scientist,Enterprise,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Never,2-3 years
22-24,Male,France,Master’s degree,Data Scientist,Mid-Large,1-2,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Python,Never,2-3 years
25-29,Female,Germany,Master’s degree,Data Analyst,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Nigeria,Bachelor’s degree,Business Analyst,Medium,10-14,I do not know,$0-999,$1-$99,Local development environments,< 1 years,Python,Never,< 1 years
60-69,Male,Republic of Korea,Doctoral degree,Product/Project Manager,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
35-39,Male,Switzerland,Doctoral degree,Data Scientist,Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
45-49,Female,Spain,Bachelor’s degree,Product/Project Manager,Large,20+,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$0 (USD),Basic statistical software,5-10 years,Python,Never,2-3 years
30-34,Male,Netherlands,Bachelor’s degree,Other,Enterprise,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Never,3-4 years
25-29,Male,Poland,Master’s degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$10,000-$99,999",Local development environments,3-5 years,Python,Used TPU,2-3 years
40-44,Male,Viet Nam,Professional degree,Research Scientist,Medium,15-19,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$10,000-$99,999",Basic statistical software,3-5 years,R,Never,3-4 years
30-34,Male,France,Doctoral degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,10-15 years
30-34,Male,Spain,Doctoral degree,Research Scientist,Medium,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,4-5 years
30-34,Male,Greece,Doctoral degree,Software Engineer,Medium,0,No (we do not use ML methods),"40,000-49,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
22-24,Male,India,Bachelor’s degree,Data Scientist,Small,3-4,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
30-34,Male,Spain,Doctoral degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
35-39,Male,Poland,Master’s degree,Data Scientist,Large,5-9,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","$1000-$9,999",Advanced statistical software,1-2 years,Python,Never,1-2 years
50-54,Male,India,Bachelor’s degree,Data Scientist,Mid-Large,3-4,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$100-$999,Other,3-5 years,Python,Never,3-4 years
30-34,Female,Other,Master’s degree,Data Scientist,Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$0 (USD),Advanced statistical software,3-5 years,Python,Never,3-4 years
30-34,Male,India,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",$100-$999,Advanced statistical software,5-10 years,Python,Never,5-10 years
25-29,Female,France,Master’s degree,Data Analyst,Large,20+,No (we do not use ML methods),"10,000-14,999",$0 (USD),Advanced statistical software,1-2 years,Python,Never,1-2 years
35-39,Male,Denmark,Doctoral degree,Research Scientist,Mid-Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,10-20 years,Python,Never,10-15 years
25-29,Male,Italy,Master’s degree,Data Engineer,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Pakistan,Some college/university study without earning a bachelor’s degree,Software Engineer,Small,1-2,I do not know,"7,500-9,999",$1-$99,Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
30-34,Male,Spain,Master’s degree,Software Engineer,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,Local development environments,3-5 years,Python,Used TPU,1-2 years
25-29,Female,Poland,Master’s degree,Data Scientist,Small,5-9,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,1-2 years
50-54,Male,Romania,Doctoral degree,Research Scientist,Large,20+,We are exploring ML methods (and may one day put a model into production),"15,000-19,999","$1000-$9,999",Local development environments,20+ years,Other,Used TPU,20+ years
55-59,Male,United States of America,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$100-$999,Local development environments,20+ years,R,Never,20+ years
35-39,Male,Poland,Master’s degree,Statistician,Large,10-14,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$0 (USD),Local development environments,5-10 years,SQL,Never,1-2 years
30-34,Female,India,Master’s degree,Data Scientist,Medium,1-2,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",$100-$999,Local development environments,3-5 years,Python,Never,3-4 years
30-34,Female,India,Professional degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999","$1000-$9,999",Local development environments,1-2 years,Python,Used TPU,2-3 years
35-39,Male,Israel,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$10,000-$99,999",Cloud-based data software & APIs,3-5 years,Python,Used TPU,3-4 years
30-34,Male,Egypt,I prefer not to answer,Other,Small,0,No (we do not use ML methods),"5,000-7,499",$0 (USD),Basic statistical software,20+ years,Python,Never,< 1 years
45-49,Male,India,Professional degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,2-3 years
40-44,Male,India,Master’s degree,Other,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","$1000-$9,999",Other,10-20 years,Other,Never,4-5 years
25-29,Male,India,Bachelor’s degree,Other,Enterprise,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499","$1000-$9,999",Cloud-based data software & APIs,1-2 years,Python,Used TPU,1-2 years
30-34,Male,China,Master’s degree,Data Scientist,Small,3-4,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$100-$999,Local development environments,3-5 years,Python,Never,3-4 years
35-39,Male,Germany,Doctoral degree,Other,Large,1-2,We are exploring ML methods (and may one day put a model into production),"80,000-89,999","$1000-$9,999",Local development environments,< 1 years,Python,Used TPU,1-2 years
40-44,Male,France,Master’s degree,Product/Project Manager,Small,1-2,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$100-$999,Basic statistical software,5-10 years,Python,Never,20+ years
25-29,Male,Ukraine,Master’s degree,Data Scientist,Large,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,5-10 years,R,Never,3-4 years
35-39,Male,Russia,Master’s degree,Business Analyst,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","$10,000-$99,999",Local development environments,< 1 years,Python,Never,< 1 years
22-24,Female,Other,Bachelor’s degree,Software Engineer,Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,"$10,000-$99,999",Local development environments,< 1 years,Python,Never,< 1 years
30-34,Female,Turkey,Doctoral degree,Product/Project Manager,Medium,15-19,No (we do not use ML methods),"1,000-1,999",$1-$99,Basic statistical software,3-5 years,Python,Never,4-5 years
25-29,Male,India,Master’s degree,Data Analyst,Small,3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
30-34,Female,India,Professional degree,Data Scientist,Mid-Large,3-4,No (we do not use ML methods),"5,000-7,499",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Spain,Master’s degree,Software Engineer,Medium,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$10,000-$99,999",Other,3-5 years,Python,Used TPU,2-3 years
30-34,Male,Singapore,Master’s degree,Data Scientist,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,3-5 years,Python,Used TPU,3-4 years
25-29,Female,Germany,Doctoral degree,Research Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",$0 (USD),Local development environments,3-5 years,Python,Never,4-5 years
35-39,Male,India,Master’s degree,Data Scientist,Large,20+,We are exploring ML methods (and may one day put a model into production),"2,000-2,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$100-$999,Local development environments,1-2 years,Python,Used TPU,2-3 years
25-29,Male,Japan,Bachelor’s degree,Data Engineer,Small,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$0 (USD),Local development environments,< 1 years,Python,Never,1-2 years
45-49,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$0 (USD),Local development environments,10-20 years,Python,Never,3-4 years
30-34,Male,Germany,Doctoral degree,Research Scientist,Large,0,I do not know,"70,000-79,999",$0 (USD),Local development environments,5-10 years,Python,Never,1-2 years
35-39,Male,Switzerland,Doctoral degree,Research Scientist,Medium,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,Taiwan,Master’s degree,Data Scientist,Enterprise,20+,We are exploring ML methods (and may one day put a model into production),"25,000-29,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Germany,Master’s degree,Software Engineer,Enterprise,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
40-44,Female,Egypt,Doctoral degree,Data Engineer,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$1-$99,Advanced statistical software,3-5 years,Other,Never,2-3 years
25-29,Female,Spain,Master’s degree,Data Scientist,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 (USD),Local development environments,3-5 years,SQL,Never,1-2 years
18-21,Male,Ukraine,Bachelor’s degree,Research Scientist,Small,5-9,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$100-$999,Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,Italy,Master’s degree,Data Scientist,Mid-Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Local development environments,3-5 years,Python,Used TPU,2-3 years
22-24,Male,Pakistan,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),$0-999,$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
22-24,Female,Netherlands,Bachelor’s degree,Software Engineer,Mid-Large,1-2,We are exploring ML methods (and may one day put a model into production),"25,000-29,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
45-49,Male,Spain,Master’s degree,Data Scientist,Large,0,I do not know,"30,000-39,999",$0 (USD),Other,< 1 years,Python,Used TPU,< 1 years
60-69,Male,Israel,Some college/university study without earning a bachelor’s degree,Other,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$10,000-$99,999",Cloud-based data software & APIs,5-10 years,Python,Never,2-3 years
45-49,Male,Taiwan,Master’s degree,Product/Project Manager,Enterprise,20+,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","$1000-$9,999",Cloud-based data software & APIs,20+ years,Python,Never,1-2 years
30-34,Female,Tunisia,Doctoral degree,Research Scientist,Medium,20+,No (we do not use ML methods),$0-999,$0 (USD),Basic statistical software,3-5 years,Python,Never,5-10 years
25-29,Female,Viet Nam,Bachelor’s degree,Data Analyst,Medium,10-14,We are exploring ML methods (and may one day put a model into production),$0-999,$0 (USD),Local development environments,< 1 years,SQL,Never,< 1 years
40-44,Male,Spain,Master’s degree,Software Engineer,Small,1-2,No (we do not use ML methods),"15,000-19,999",$100-$999,Local development environments,< 1 years,Python,Never,1-2 years
25-29,Male,France,Master’s degree,Data Analyst,Small,3-4,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$100-$999,Cloud-based data software & APIs,3-5 years,SQL,Never,< 1 years
25-29,Female,Hong Kong (S.A.R.),Bachelor’s degree,Business Analyst,Small,5-9,No (we do not use ML methods),"5,000-7,499",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,France,Master’s degree,Data Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$10,000-$99,999",Other,5-10 years,SQL,Never,5-10 years
45-49,Male,Other,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
50-54,Male,Greece,Doctoral degree,Statistician,Large,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","$1000-$9,999",Advanced statistical software,20+ years,Python,Never,2-3 years
30-34,Male,Denmark,Master’s degree,Software Engineer,Enterprise,10-14,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",$0 (USD),Local development environments,3-5 years,Python,Never,4-5 years
22-24,Female,Portugal,Master’s degree,Research Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$100-$999,Other,1-2 years,R,Never,< 1 years
35-39,Male,Russia,Doctoral degree,Software Engineer,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Local development environments,10-20 years,Python,Never,2-3 years
25-29,Male,Germany,Bachelor’s degree,Data Scientist,Mid-Large,15-19,No (we do not use ML methods),"80,000-89,999",$100-$999,Local development environments,3-5 years,Python,Never,3-4 years
25-29,Male,United States of America,Bachelor’s degree,Software Engineer,Large,0,No (we do not use ML methods),"50,000-59,999",$0 (USD),Local development environments,3-5 years,Python,Never,2-3 years
